tradeTime,price,livingRoom,drawingRoom,bathRoom,floor
2012-05-15,2.227830742272272e+48,111111111.1,111111111.1,111111111.1,111111111.1
2012-05-16,2.585781370305728e+38,1388888.875,1388888.875,1388888.875,1388888.875
2012-05-17,3.3921738688635326e+33,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2012-05-18,2.9880235832278758e+29,158730.14285714287,158730.14285714287,158730.14285714287,158730.14285714287
2012-05-19,2.33120354660742e+53,1010101010.0909091,1010101010.0909091,1010101010.0909091,1010101010.0909091
2012-05-20,3.662811612591957e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-05-21,1.6142635439160516e+78,69444444444444.44,69444444444444.44,69444444444444.44,69444444444444.44
2012-05-22,1.4907886516859253e+63,85470085470.07692,85470085470.07692,85470085470.07692,85470085470.07692
2012-05-23,7.572065545553631e+18,277.75,277.75,277.75,277.75
2012-05-24,3.077401618403457e+53,1010101010.0909091,1010101010.0909091,1010101010.0909091,1010101010.0909091
2012-05-25,3.3091528640152155e+38,1388888.875,1388888.875,1388888.875,1388888.875
2012-05-26,9.963667271826492e+82,653594771241830.1,653594771241830.1,653594771241830.1,653594771241830.1
2012-05-27,8.41630195833492e+102,5.291005291005292e+18,5.291005291005292e+18,5.291005291005292e+18,5.291005291005292e+18
2012-05-28,1.8954188072494524e+48,111111111.1,111111111.1,111111111.1,111111111.1
2012-05-29,2.5710349678486533e+38,1388888.875,1388888.875,1388888.875,1388888.875
2012-05-30,2.0668279842952033e+48,111111111.1,111111111.1,111111111.1,111111111.1
2012-05-31,3.5137005214407487e+43,12345679.0,12345679.0,12345679.0,12345679.0
2012-06-01,5.970247894620444e+23,2222.2,2222.2,2222.2,2222.2
2012-06-02,1.0649186315039558e+108,5.0505050505050505e+19,5.0505050505050505e+19,5.0505050505050505e+19,5.0505050505050505e+19
2012-06-03,1.531880147495209e+73,7407407407407.4,7407407407407.4,7407407407407.4,7407407407407.4
